R0001	100001|.44 Magnum.1	Provides only only maneuver each combat, even if the bearer changes. [LSJ 19980302-2]
R1515	101655|Rowan Ring.3	If the opponent dodges or ends combat, they avoid the effect and the ring stays. [LSJ 19980219] [ANK 20220923]'
R1516	101655|Rowan Ring.4	If the strike is inflicted, the opponent is wounded (if they play {Undying Tenacity}, they go to torpor after combat). [LSJ 20090622-2]
R1517	101655|Rowan Ring.5	If placed on a minion that cannot have equipment, the Ring is burned. The "does not unlock as normal" effect still applies. [LSJ 19980831]
R1518	101655|Rowan Ring.6	The "does not unlock as normal" effect continues to apply if the Ring is burned or moved. [LSJ 19980831]
R1519	101659|Ruins of Charizel.1	Only works when unlocking minions using their Infernal ability (eg. not with {Path of Evil Revelations} nor {Metro Underground}). [LSJ 20050228-2]
R1520	101664|Rutor's Hand.1	If the vampire is stolen before "your next turn", the Hand will not allow the vampire an extra unlock until a Methuselah begins a turn with the vampire with the Hand under her control. [LSJ 20031106]
R1521	101665|Saatet-ta.1	She can lock to use her ability the turn she is recruited. [ANK 20180517]
R1522	101667|Sabbat Priest.1	Burn blood effects are cumulative. [LSJ 19980225]
R1523	101667|Sabbat Priest.2	A vampire with no blood can still block, he burns what he can. [LSJ 19970707]
R1524	101667|Sabbat Priest.3	The same vampire can be chosen multiple times if multiple copies are played. [LSJ 19970707]
R1525	101668|Sabbat Threat.1	You can gain pool from the Edge before burning it to remove the threat counters, and loose no pool to the threat counters. [TOM 19951214-1]
R1526	101671|Sacrifice.1	Does not require a specific clan: vampires that can play cards as if they were of a required clan (eg. {Mata Hari}) cannot use their ability to match a target's clan. [LSJ 20100526]
R1527	101672|Sacrificial Lamb.1	If the target has a {Soul Gem of Etrius}, the Gem effect applies and it cannot be transferred. [LSJ 19970516]
R1528	101672|Sacrificial Lamb.2	If the target does not burn (eg. {Byzar}'s ability) then no blood is gained and no equipment transferred. [LSJ 20100423]
R1529	101673|Safe Passage.1	[obe] The additional cost does not apply to reaction powers [POWER][REACTION]. [ANK 20180805]
R1530	101675|Samuel Haight.1	He cannot "steal equipment as a strike" if there is no equipment to steal. [RTR 19980928]
R1531	101681|Sargon Fragment, The.1	When using the provided action, the card to retrieve must be named when declaring the action. [LSJ 20010627]
R1532	101681|Sargon Fragment, The.2	Upon resolution, any copy of the named card in the ash heap can be fetched. [LSJ 20050228]
R1533	101683|Savannah Runner.1	[cel] The burn blood effect is not reduced by effects that reduce the cost of the card (eg. {High Orun}). The card cannot be played if the minion cannot afford to burn the blood. [ANK 20210226]
R1534	101684|Save Face.1	Can be used by a vampire in torpor. [LSJ 20020416]
R1535	101684|Save Face.2	Can be played by a minion of a Methuselah not involved in the current combat. [ANK 20181101]
R1536	101684|Save Face.3	The gain blood effect is applied after combats ends, no combat card can be played afterwards. The acting player chooses the order of after-combat effects. [LSJ 20071116]
R1537	101688|Scarlet Lore.1	[nec] The card to retrieve must be announced when declaring the action. [LSJ 20010627]
R1538	101689|Scattershot.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R1539	101691|Scobax.1	[STR] If the action fails, modifiers and reactions that can be used at the end/after an action can still be used afterwards. [LSJ 20041022] [RTR 20180719] [ANK 20220118] [ANK 20221205].
R1540	101691|Scobax.2	[STR] If the action fails, it has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [ANK 20211015]
R1541	101691|Scobax.3	If another Methuselah is the target, he must declare whether he attempts or declines to block before Scobax can be played. [ANK 20200607]
R1542	101692|Scorn of Adonis.1	May be played at any time during the voting process, and will retroactively cause the loss of pool to Methuselahs voting 'no' before it is played, as well as to Methuselahs voting 'no' after it is played. [RTR 19951110]
R1543	101692|Scorn of Adonis.2	Each Scorn played may only cause the loss of one pool to a given Methuselah, regardless of how may 'no' votes that Methuselah casts. [RTR 19951110]
R1544	101693|Scorpion Sting.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R1545	101693|Scorpion Sting.2	[ANI] Does not prevent the opponent from dodging, the dodge just has no effect. [LSJ 20030902-2] [LSJ 20060808-1]
R1546	101694|Scorpion's Touch.1	If it is declared with first strike and if the opposing minion declared a strike based on strength, that minion’s strength is decreased by Scorpion’s Touch when it resolves. [PIB 20110830]
R1547	101694|Scorpion's Touch.2	You cannot play another strike card to serve as the hand strike for Scorpion's Touch. [LSJ 20010627]
R1548	101697|Scourge of the Enochians.1	If the option to burn a vampire is used, the card goes to the predator immediately, even if there is still a mandatory effect to resolve. If not, the predator must take the card when he has the opportunity to play an effect, after the acting Methuselah applied other mandatory effects (eg. losing blood to {Dragonbound}). [ANK 20200508-1]
R1549	101701|Scry the Hearthstone.1	[vis] The maneuver can only be used if the block is successful, and only in the resulting (block-induced) combat. It does not carry over to a follow-up combat (eg. [CEL] {Psyche!}). [LSJ 20010813] [LSJ 20010819-2]
R1550	101701|Scry the Hearthstone.2	[vis] The maneuver is provided again if a second block happens on the same action (eg. after [PRO] {Form of Mist}). [LSJ 20010814-2]
R1551	101702|Scrying of Secrets.1	Cards and effects that can be played "after resolution" (and only them) can be played after it. [ANK 20190425] [ANK 20190113]
R1552	101703|Seal of Veddartha.1	Accumulates the four counters regardless of the owner's disciplines. The first two provide Dominate levels, the last two Fortitude levels. [LSJ 20070320-2]
R1553	101703|Seal of Veddartha.2	Can be equipped by a vampire with capacity less than 6: he cannot use it to bleed but the disciplines bonus applies. [LSJ 20030607] [ANK 20180801]
R1554	101706|Second Tradition: Domain.1	Can be used by a locked a vampire who is already attempting to block (eg. if he played a wake effect before)". [ANK 20181122-2]
R1555	101706|Second Tradition: Domain.2	Cannot be used if the vampire cannot attempt to block the action (eg. {Daring the Dawn}). [LSJ 20010714-2]
R1556	101706|Second Tradition: Domain.3	Does not ignore the normal prey, predator or target restrictions. [ANK 20180623]
R1557	101706|Second Tradition: Domain.4	The block attempt and subsequent combat still happen if the action lacks a suitable target because of the unlock (eg. {Ambush}). [LSJ 20090514]
R1558	101707|Secret Horde.1	If put into play with no counters (X=0), it burns immediately. [LSJ 20070308]
R1559	101710|Secret Passage.1	When burned to make an action fail, the action has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [ANK 20211015]
R1560	101711|Secure Haven.1	All Methuselahs, including the target vampire's controller, must pay one extra pool when playing Master cards on the target minion. [TOM 19951208-1]
R1561	101711|Secure Haven.2	Choosing is targeting: cards that "choose" the vampire like {The Rack}, {Toreador Grand Ball}, {Piper} or {Tend the Flock} are considered to target it, their cost is increased. Actions that choose the vampire cannot be played against him (eg. {Propaganda}, {Spirit Marionette}, {Shattering Crescendo}) [LSJ 20031010] [LSJ 20090319] [ANK 20180907]
R1562	101711|Secure Haven.3	Actions that target retainers, equipment, or other cards on the minion are allowed, as are actions that target cards not on the minion, even if such cards have "named" or "chosen" that minion. [TOM 19951208-1] [LSJ 19980302-1]
R1563	101711|Secure Haven.4	There is no additional cost for using the effects of cards already in play (eg. {KRCG News Radio}). [ANK 20221120]
R1564	101711|Secure Haven.5	Can be played on a vampire in torpor. [LSJ 20010610]
R1565	101711|Secure Haven.6	If contested, it will not be burned when the target (vampire) goes to torpor, nor will it be burned if it enters play while the target vampire is in torpor. [RTR 19960124]
R1566	101714|Selective Silence.1	[QUI] No other effect can be used to reset the range, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R1567	101717|Sense the Savage Way.1	[ANI] Can be used by a vampire who is already attempting to block. [ANK 20181122-2]
R1568	101717|Sense the Savage Way.2	[ANI] Cannot be used if the vampire cannot attempt to block the action (eg. {Daring the Dawn}). [LSJ 20010714-2]
R1569	101717|Sense the Savage Way.3	[ANI] Does not ignore the normal prey, predator or target restrictions. [ANK 20180623]
R1570	101717|Sense the Savage Way.4	[ANI] The block attempt and subsequent combat still happen if the action lacks a suitable target because of the unlock (eg. {Ambush}). [LSJ 20090514]
R1571	101720|Sense Vitality.1	[val], [VAL] Is not the default action, no blood is paid for the rescue. [ANK 20181017]
R1572	101721|Sensory Deprivation.1	Can target an unlocked minion, does not prevent a minion to wake or unlock in a non-normal way (eg. {Freak Drive}, {Sense the Savage Way}). [PIB 20150111]
R1573	101724|Seraph's Second.1	Can be used to unlock a vampire who has just successfully resolved an action to become Black Hand. [LSJ 20070702]
R1574	101727|Serpent's Numbing Kiss.1	[PRE][SER] The additional effect takes place after the end of combat, including the blood burn. [RTR 19970630] [ANK 20180420-1] [ANK 20200705]
R1575	101727|Serpent's Numbing Kiss.2	[PRE][SER] If the combat continues or a new combat begins, no blood is burned, the card cannot be put on the opposing minion and he is not locked. [RTR 20020501] [ANK 20200705]
R1576	101727|Serpent's Numbing Kiss.3	[PRE][SER] If the strike is dodged, the card is not put on the opposing minion and he is not locked. [RTR 20041202]
R1577	101727|Serpent's Numbing Kiss.4	[PRE][SER] Burning 1 blood is mandatory, not a choice. [ANK 20180420-2]
R1578	101727|Serpent's Numbing Kiss.5	[PRE][SER] The burn blood effect is not reduced by effects that reduce the cost of the card (eg. {The Path of Typhon}). The card cannot be played if the minion cannot afford to burn the blood. [ANK 20210226]
R1579	101730|Set's Call.1	Requirements do not apply when taking control of a card already in play. [TOM 19960226-1]
R1580	101730|Set's Call.2	The acting vampire's controller is the one who makes the choices pertaining to the ally or retainer entry in play. [LSJ 20030701-2]
R1581	101731|Set's Curse.1	Can be used on a target that cannot be burned (eg. {Ilomba}), but then it is not put into play. [ANK 20190422]
R1582	101731|Set's Curse.2	Can be used on a target that is shuffled in library after it is burned (eg. {Kherebutu}), both effects are applied normally. [ANK 20200813]
R1583	101731|Set's Curse.3	Once in play, is an ally with a cost of zero. [LSJ 20080804]
R1584	101733|Shackles of Enkidu.1	If placed on a minion that cannot have equipment or weapon, the Shackles are burned. [LSJ 19980831]
R1585	101733|Shackles of Enkidu.2	"The shackled minion" refers to the minion the card is placed upon (not the Gangrel the card is put on with the equip action). [TOM 19951212-2]
R1586	101733|Shackles of Enkidu.3	Once placed on a minion, even as a result of diablerie or theft, the Shackles will harm the minion they are on. [LSJ 19990602]
R1587	101733|Shackles of Enkidu.4	An ally does not suffer the "burn 2 blood" effect from being shackled. [RTR 19971201]
R1588	101733|Shackles of Enkidu.5	Are controlled by the Methuselah who controls the vampire who used it; changing the controller of the vampire changes who controls the Shackles. (errata) [RTR 19960708]
R1589	101733|Shackles of Enkidu.6	Are still considered as an equipment after they are "activated". [LSJ 20100527]
